s_no,asi_circle,monument,period,year_index,domestic_visitors,foreign_visitors,total_visitors,flag_source_anomaly,flag_likely_extraction_error,flag_incomplete_pair,exclude_from_training,covid_year,recovery_year,post_covid
90,Mumbai,"Cave, Temple and Inscriptions, Junnar",2019-20,0,354946.0,105.0,355051.0,False,False,False,False,0,0,0
90,Mumbai,"Cave, Temple and Inscriptions, Junnar",2020-21,1,73899.0,6.0,73905.0,False,False,False,False,1,0,0
90,Mumbai,"Cave, Temple and Inscriptions, Junnar",2021-22,2,173143.0,20.0,173163.0,False,False,False,False,0,1,0
90,Mumbai,"Cave, Temple and Inscriptions, Junnar",2022-23,3,404079.0,391.0,404470.0,False,False,False,False,0,0,1
90,Mumbai,"Cave, Temple and Inscriptions, Junnar",2023-24,4,479866.0,844.0,480710.0,False,False,False,False,0,0,1
90,Mumbai,"Cave, Temple and Inscriptions, Junnar",2024-25,5,373182.0,401.0,373583.0,False,False,False,False,0,0,1
47,Bhopal,Caves 1 to 20 Udaygiri Vidisha,2019-20,0,53546.0,741.0,54287.0,False,False,False,False,0,0,0
47,Bhopal,Caves 1 to 20 Udaygiri Vidisha,2020-21,1,11601.0,10.0,11611.0,False,False,False,False,1,0,0
47,Bhopal,Caves 1 to 20 Udaygiri Vidisha,2021-22,2,35530.0,42.0,35572.0,False,False,False,False,0,1,0
47,Bhopal,Caves 1 to 20 Udaygiri Vidisha,2022-23,3,60441.0,539.0,60980.0,False,False,False,False,0,0,1
47,Bhopal,Caves 1 to 20 Udaygiri Vidisha,2023-24,4,65392.0,726.0,66118.0,False,False,False,False,0,0,1
47,Bhopal,Caves 1 to 20 Udaygiri Vidisha,2024-25,5,68753.0,878.0,69631.0,False,False,False,False,0,0,1
91,Mumbai,"Caves, Temples and inscriptions, Karla",2019-20,0,219758.0,2068.0,221826.0,False,False,False,False,0,0,0
91,Mumbai,"Caves, Temples and inscriptions, Karla",2020-21,1,51045.0,21.0,51066.0,False,False,False,False,1,0,0
91,Mumbai,"Caves, Temples and inscriptions, Karla",2021-22,2,156834.0,150.0,156984.0,False,False,False,False,0,1,0
91,Mumbai,"Caves, Temples and inscriptions, Karla",2022-23,3,301392.0,2170.0,303562.0,False,False,False,False,0,0,1
91,Mumbai,"Caves, Temples and inscriptions, Karla",2023-24,4,250417.0,1860.0,252277.0,False,False,False,False,0,0,1
91,Mumbai,"Caves, Temples and inscriptions, Karla",2024-25,5,187184.0,1817.0,189001.0,False,False,False,False,0,0,1
71,Vadodara,Champaner Monuments Pavagadh,2019-20,0,59402.0,1948.0,61350.0,False,False,False,False,0,0,0
71,Vadodara,Champaner Monuments Pavagadh,2020-21,1,39014.0,81.0,39095.0,False,False,False,False,1,0,0
71,Vadodara,Champaner Monuments Pavagadh,2021-22,2,61303.0,43.0,61346.0,False,False,False,False,0,1,0
71,Vadodara,Champaner Monuments Pavagadh,2022-23,3,65547.0,806.0,66353.0,False,False,False,False,0,0,1
71,Vadodara,Champaner Monuments Pavagadh,2023-24,4,56675.0,1762.0,58437.0,False,False,False,False,0,0,1
71,Vadodara,Champaner Monuments Pavagadh,2024-25,5,52017.0,1924.0,53941.0,False,False,False,False,0,0,1
